site_id,year,month,interval_count_in,interval_count_out,max_interval_count_in,max_interval_count_out,mean_interval_count_in,mean_interval_count_out,min_interval_count_in,min_interval_count_out,total_count_in,total_count_out,zero_count_intervals_in,zero_count_intervals_out,weather_hours_available,avg_temperature_2m,min_temperature_2m,max_temperature_2m,avg_relative_humidity_2m,total_precipitation,total_rain,total_snowfall,avg_cloud_cover,avg_wind_speed_10m,most_common_weather_code,station_to_weather_grid_km,rainy_days,heavy_rain_days,frost_days,storm_days,bike_crash_count_1km,bike_crash_happened_1km,month_sin,month_cos
83,2024,7,2976,2976,6.0,3.0,0.5047043010752689,0.07426075268817205,0.0,0.0,1502.0,221.0,1931,2775,744,18.102352150537634,10.0,29.25,75.74278275806452,93.7,93.7,0.0,66.8508064516129,12.6222380672043,3.0,3.665694459102253,151,0,0,0,0.0,0,-0.4999999999999997,-0.8660254037844388
83,2024,8,2976,2976,9.0,3.0,0.634744623655914,0.09173387096774194,0.0,0.0,1889.0,273.0,1807,2731,744,19.423857526881722,10.75,32.85,74.47351007392473,60.5,60.5,0.0,58.956989247311824,12.749393354435485,3.0,3.665694459102253,105,0,0,0,0.0,0,-0.8660254037844385,-0.5000000000000004
83,2024,9,2880,2880,11.0,7.0,0.6048611111111111,0.11354166666666667,0.0,0.0,1742.0,327.0,1838,2636,720,15.350625,4.15,30.25,80.96787740138889,111.5,111.5,0.0,60.56944444444444,14.910415405694446,3.0,3.665694459102253,172,2,0,0,0.0,0,-1.0,-1.8369701987210297e-16
83,2024,10,2976,2976,9.0,6.0,0.5319220430107527,0.10047043010752688,0.0,0.0,1583.0,299.0,1977,2742,744,12.441532258064516,4.0,21.35,85.2357321048387,73.5,73.5,0.0,69.39516129032258,13.331839485349462,3.0,3.665694459102253,132,0,0,0,0.0,0,-0.8660254037844386,0.5000000000000001
83,2024,11,2880,2880,8.0,4.0,0.39131944444444444,0.07326388888888889,0.0,0.0,1127.0,211.0,2093,2705,720,7.175347222222222,-1.5,17.1,87.14487473472222,62.0,59.200000010000004,1.96,77.43611111111112,12.54668836261111,3.0,3.665694459102253,123,0,20,0,0.0,0,-0.5000000000000004,0.8660254037844384
83,2024,12,2976,2976,5.0,4.0,0.2657930107526882,0.06182795698924731,0.0,0.0,791.0,184.0,2363,2828,744,5.149596774193548,-2.4,13.2,89.72351187634408,72.8,68.30000013,3.14999991,86.7486559139785,14.87090792607527,3.0,3.665694459102253,158,0,32,0,0.0,0,-2.4492935982947064e-16,1.0
84,2022,7,2252,2252,43.0,42.0,3.214476021314387,3.4484902309058616,0.0,0.0,7239.0,7766.0,674,665,457,19.84354485776805,10.55,37.1,65.75790241356674,13.4,13.4,0.0,57.04157549234136,11.24664849431072,3.0,2.4476685136351923,47,0,0,0,1.0,1,-0.4999999999999997,-0.8660254037844388
84,2022,8,2976,2976,63.0,45.0,3.5749327956989245,3.739247311827957,0.0,0.0,10639.0,11128.0,893,856,744,20.591330645161293,11.25,32.15,65.08019307795699,16.0,16.0,0.0,54.80107526881721,11.140172421505376,3.0,2.4476685136351923,39,0,0,0,1.0,1,-0.8660254037844385,-0.5000000000000004
84,2022,9,2880,2880,42.0,30.0,2.714236111111111,2.776388888888889,0.0,0.0,7817.0,7996.0,995,1010,720,15.046388888888888,4.6,26.85,76.78261166805555,122.8,122.8,0.0,71.6361111111111,11.58879676625,3.0,2.4476685136351923,189,0,0,0,0.0,0,-1.0,-1.8369701987210297e-16
84,2022,10,2976,2976,53.0,33.0,2.934811827956989,3.019489247311828,0.0,0.0,8734.0,8986.0,1064,1049,744,13.930510752688171,2.6,21.7,82.87703277284946,49.5,49.5,0.0,73.51478494623656,13.607037537634408,3.0,2.4476685136351923,89,0,0,0,0.0,0,-0.8660254037844386,0.5000000000000001
