group_id,months_observed,total_crashes,average_monthly_crashes,total_cyclists,average_monthly_cyclists,crash_month_share,crashes_per_10000_cyclists,smoothed_crashes_per_10000_cyclists,group_name,gemeente,lat,long,member_site_count,member_site_ids,historical_risk_rank
89,27,6.0,0.2222222222222222,810123.0,30004.555555555555,0.18518518518518517,0.07406282749656534,0.07704451064713463,Geel totem,Westerlo,51.1348979,4.9397605,2,"112,127",70
68,62,5.0,0.08064516129032258,721774.0,11641.516129032258,0.08064516129032258,0.069273761592964,0.07271406541845575,Machelen,Machelen,50.91618331151478,4.456121776137429,1,1,71
15,62,7.0,0.11290322580645161,1064138.0,17163.516129032258,0.11290322580645161,0.06578094194549955,0.06818089185139702,Brugge,Brugge,51.17416,3.20048,1,20,72
90,29,6.0,0.20689655172413793,939066.0,32381.58620689655,0.1724137931034483,0.0638932726773198,0.06663850280218488,Westerlo teller 1,Westerlo,51.081955,4.913295,2,"88,89",73
3,29,4.0,0.13793103448275862,639625.0,22056.03448275862,0.13793103448275862,0.06253664256400235,0.0665687565477413,Aarschot,Aarschot,50.99084,4.81259,1,87,74
19,30,6.0,0.2,976031.0,32534.366666666665,0.2,0.06147345729797517,0.0641544425604511,"Brugge, Sint-Andries",Brugge,51.19286,3.16252,2,"50,51",75
57,29,5.0,0.1724137931034483,870658.0,30022.689655172413,0.1724137931034483,0.05742783044547917,0.06049882213016564,Heverlee teller 2,Leuven,50.8466164,4.6957187000000005,2,"76,108",76
94,28,7.0,0.25,1204089.0,43003.17857142857,0.14285714285714285,0.05813523751151285,0.060357653716125885,Zemst,Zemst,50.9903936,4.4707023,1,109,77
81,29,1.0,0.034482758620689655,231247.0,7974.0344827586205,0.034482758620689655,0.04324380424394695,0.055166197809748824,Pepingen teller 1,Pepingen,50.75836,4.165285,2,"78,79",78
91,39,3.0,0.07692307692307693,618625.0,15862.179487179486,0.07692307692307693,0.04849464538290564,0.05300583987352363,Zaventem,Zaventem,50.86995,4.45444,1,26,79
66,31,4.0,0.12903225806451613,824611.0,26600.354838709678,0.0967741935483871,0.0485077206100816,0.05191271964459816,Maaseik teller 1,Maaseik,51.093515,5.797205,2,"43,44",80
69,28,1.0,0.03571428571428571,291150.0,10398.214285714286,0.03571428571428571,0.03434655675768504,0.04439348654861871,Malle teller 1,Malle,51.316815,4.73862,2,"103,104",81
13,29,1.0,0.034482758620689655,313864.0,10822.896551724138,0.034482758620689655,0.03186093339790483,0.04133297723914576,Brecht teller 1,Brecht,51.357455,4.62426,2,"90,91",82
45,29,3.0,0.10344827586206896,938056.0,32346.758620689656,0.10344827586206896,0.03198103311529376,0.035251474017775064,Herent teller 1,Herent,50.891315000000006,4.64687,2,"72,73",83
84,31,0.0,0.0,109486.0,3531.8064516129034,0.0,0.0,0.028922769133930357,Tongeren,Tongeren,50.79286,5.52825,1,29,84
42,31,0.0,0.0,124721.0,4023.2580645161293,0.0,0.0,0.02578274235584429,Heers,Heers,50.75487,5.30322,2,"28,34",85
77,29,1.0,0.034482758620689655,530116.0,18279.862068965518,0.034482758620689655,0.018863795848455808,0.024954128582140717,Nijlen teller 1,Nijlen,51.149935,4.6447400000000005,2,"92,93",86
56,31,0.0,0.0,579084.0,18680.129032258064,0.0,0.0,0.006083949845381354,Lanaken teller 1,Lanaken,50.881215,5.63076,2,"35,36",87
