crash_row_id,site_id,site_name,site_gemeente,site_lat,site_long,distance_km,crash_lat,crash_long,DT_YEAR_COLLISION,DT_MONTH_COLLISION,DT_TIME,CD_NIS,TX_MUNTY_COLLISION_NL,TX_WEATHER_NL,TX_ROAD_CONDITION_NL,TX_LIGHT_CONDITION_NL,TX_CLASS_ACCIDENTS_NL,CD_ROAD_USR_TYPE1,TX_ROAD_USR_TYPE1_NL,CD_ROAD_USR_TYPE2,TX_ROAD_USR_TYPE2_NL,TX_CROSSWAY_NL,CD_ROAD_TYPE_NL,TX_BUILD_UP_AREA_NL,TX_COLLISION_TYPE_NL,TX_OBSTACLES_NL
237,55,Torhout teller 1,Torhout,51.07161,3.08261,0.4165801406463716,51.06981215682168,3.08784079698561,2017,1,10,31033,Torhout,Normaal,"Ijzel, sneeuw",Dag,met lichtgewonden,3,Fiets,10,"één bestuurder, geen hindernis",Buiten Kruispunt,Gewestweg,binnen bebouwde kom,"Eén bestuurder, geen hindernis (incl. val)",Geen hindernis
237,56,Torhout teller 2,Torhout,51.07147,3.08244,0.4199774132028807,51.06981215682168,3.08784079698561,2017,1,10,31033,Torhout,Normaal,"Ijzel, sneeuw",Dag,met lichtgewonden,3,Fiets,10,"één bestuurder, geen hindernis",Buiten Kruispunt,Gewestweg,binnen bebouwde kom,"Eén bestuurder, geen hindernis (incl. val)",Geen hindernis
241,55,Torhout teller 1,Torhout,51.07161,3.08261,0.720593815506179,51.06846148031487,3.0916241121334225,2017,1,7,31033,Torhout,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,5,Lichte vrachtauto,3,Fiets,Op Kruispunt,Gewestweg,buiten bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
241,56,Torhout teller 2,Torhout,51.07147,3.08244,0.7236728364789035,51.06846148031487,3.0916241121334225,2017,1,7,31033,Torhout,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,5,Lichte vrachtauto,3,Fiets,Op Kruispunt,Gewestweg,buiten bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
263,143,Eco Display Classic Budastraat,Kortrijk,50.83066,3.26286,0.6835737675718426,50.832919192737876,3.2538078144383125,2017,1,11,34022,Kortrijk,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gemeenteweg,binnen bebouwde kom,Tussen 2 bestuurders: Langs achteren,Geen hindernis
264,143,Eco Display Classic Budastraat,Kortrijk,50.83066,3.26286,0.8475273326047826,50.82469554561511,3.270372862361726,2017,1,12,34022,Kortrijk,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,5,Lichte vrachtauto,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
285,35,Lanaken teller 1,Lanaken,50.88112,5.6314,0.23383814701900316,50.88227089154238,5.634189685350802,2017,1,10,73042,Lanaken,Onbekend,Droog,Dag,met lichtgewonden,5,Lichte vrachtauto,3,Fiets,Buiten Kruispunt,Gemeenteweg,buiten bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
285,36,Lanaken teller 2,Lanaken,50.88131,5.63012,0.30484791162588665,50.88227089154238,5.634189685350802,2017,1,10,73042,Lanaken,Onbekend,Droog,Dag,met lichtgewonden,5,Lichte vrachtauto,3,Fiets,Buiten Kruispunt,Gemeenteweg,buiten bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
295,99,Mechelen teller 1,Mechelen,51.04564,4.46882,0.4981345312115828,51.04144013068556,4.471299351503357,2017,1,16,12025,Mechelen,Regenval,"Nat, plassen",Dag,met lichtgewonden,3,Fiets,6,Bromfiets,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Tussen 2 bestuurders: Frontale botsing,Geen hindernis
295,100,Mechelen teller 2,Mechelen,51.0457,4.46883,0.5041547672046742,51.04144013068556,4.471299351503357,2017,1,16,12025,Mechelen,Regenval,"Nat, plassen",Dag,met lichtgewonden,3,Fiets,6,Bromfiets,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Tussen 2 bestuurders: Frontale botsing,Geen hindernis
