site_id,site_name,site_gemeente,bike_crash_count_1km,nearest_crash_distance_km,average_crash_distance_km
30,Herk De Stad,Herk-de-Stad,22,0.06752999637106614,0.793165385587789
38,Lommel teller 2,Lommel,21,0.01368120758983138,0.5217686830511706
97,Geel teller 1,Geel,21,0.04860461669169923,0.6220813498337249
98,Geel teller 2,Geel,21,0.07680893683120989,0.6174120505172358
37,Lommel teller 1,Lommel,21,0.020727290223475005,0.5204548697866931
51,"Brugge, Sint-Andries",Brugge,19,0.5716486204614173,0.8101753489644353
84,Roeselare totem,Izegem,19,0.31476939796073533,0.7277671029507006
50,"Brugge, Sint-Andries",Brugge,19,0.5612023635135949,0.8106150162926385
127,Geel totem,Westerlo,18,0.23958405816516976,0.6768825537897479
113,Deinze teller 2,Deinze,17,0.15507235690539714,0.4360982975572351
114,Deinze teller 1,Nazareth,17,0.13910552742198876,0.4265405835146359
60,Ardooie teller 2,Ardooie,17,0.29166929023480803,0.7322741738387434
8,Heist op den Berg 1,Heist-op-den-Berg,17,0.2203671086322294,0.6175217349769699
59,Ardooie teller 1,Ardooie,17,0.2508276650469277,0.6934900531174412
62,Wervik teller 1,Wervik,16,0.02985968524690711,0.6441609557493541
95,Lier teller 1,Lier,16,0.05114385794910293,0.6337293663164195
96,Lier teller 2,Lier,16,0.042052272668087566,0.6260998197986022
112,Geel teller 2,Westerlo,15,0.35706104590946963,0.7067904722974413
26,Zaventem,Zaventem,14,0.20250759494466294,0.521413421030156
21,Bilzen,Bilzen,14,0.19893914016359154,0.5762270771218185
31,Herk De Stad,Herk-de-Stad,14,0.0300005173127875,0.6989648861402751
72,Herent teller 1,Herent,13,0.018331413873627384,0.4551862838977451
61,Wervik teller 2,Wervik,13,0.01941670133924577,0.5569015545974353
73,Herent teller 2,Herent,13,0.01616298835069047,0.45530476266902953
12,Tervuren,Kraainem,13,0.17473059259368434,0.6154333884382193
147,Overijse,District Vilvoorde-gewestwegen,13,0.6869005019460444,0.8073814648291905
135,Retie 2,Dessel,12,0.2560627783892059,0.5187999310867232
134,Retie,Dessel,12,0.2548531432966475,0.5255871050524493
48,As,As,12,0.09461223862179018,0.3822756567452983
141,Test site A support,Lokeren,12,0.40884002358239907,0.6798671174148897
87,Aarschot,Aarschot,12,0.02607064236629949,0.5639616241416445
105,St. pieters leeuw teller 2,Halle,11,0.32331416790193107,0.5784701201102287
27,Grimbergen,Meise,11,0.22821475820148715,0.39817011684680353
106,St. pieters leeuw teller 1,Sint-Pieters-Leeuw,11,0.3490624572356681,0.5759184343761963
108,Heverlee teller 1,Leuven,10,0.031025719849177923,0.6646054612483246
49,Bokrijk,Genk,10,0.06256988158124158,0.40827738167401517
80,Wemmel teller 1,Wemmel,10,0.5337204886346066,0.732944816010958
152,Opwijk,District Vilvoorde-gewestwegen,10,0.08082439130923798,0.685624769463568
131,Nevele,Deinze,9,0.5851726280920826,0.8288569675328158
76,Heverlee teller 2,Leuven,9,0.0977861161812554,0.6646227619878914
93,Nijlen teller 2,Nijlen,9,0.07710784450357656,0.595731962114415
92,Nijlen teller 1,Nijlen,9,0.08258608552870263,0.5963644966205979
86,Asse teller 2,Asse,9,0.29650924040765597,0.7677106962116294
81,Wemmel teller 2,Wemmel,9,0.5552727833736156,0.7174575079003054
1,Machelen,Machelen,8,0.5972105578423624,0.7740767750257779
132,Gierde lille,Lille,8,0.23393355660876358,0.6581365984723263
133,Gierde Lille Totem,Lille,8,0.24531899223905507,0.6503572273998521
20,Brugge,Brugge,8,0.47221115852026085,0.7203639456738161
40,Peer teller 2,Peer,7,0.2477527759015075,0.7053658707205487
39,Peer teller 1,Peer,7,0.19687785503830854,0.6942132310586951
91,Brecht teller 2,Brecht,6,0.18596426347869235,0.6614206477240058
90,Brecht teller 1,Brecht,6,0.19494489153485464,0.6663635792995035
4,Balen 1,Balen,6,0.3110117707731504,0.45577806030674345
5,Balen 2,Balen,6,0.30998746407820976,0.45466737425827314
148,Hoeilaart,District Leuven,5,0.25424150716695254,0.6197272269833316
104,Malle teller 2,Malle,5,0.225680341171791,0.6063836643977808
103,Malle teller 1,Malle,5,0.22694534139283465,0.6072215921094897
57,Meulebeke teller 1,Meulebeke,4,0.11122304491530548,0.4045671588742777
78,Pepingen teller 1,Pepingen,4,0.014930343558190519,0.34548340259007115
36,Lanaken teller 2,Lanaken,4,0.30484791162588665,0.6938515712511762
34,Heers teller 1,Heers,4,0.16947976313789306,0.39968647029430715
28,Heers,Heers,4,0.17287455442536087,0.40047114300563974
79,Pepingen teller 2,Pepingen,4,0.029615318746782908,0.3551360370106622
85,Asse teller 1,Asse,4,0.24214427931159732,0.7268875924007474
58,Meulebeke teller 2,Meulebeke,4,0.14745839361951682,0.43781801618528654
35,Lanaken teller 1,Lanaken,3,0.23383814701900316,0.5297034789863179
33,Lummen,Lummen,2,0.5451392331961485,0.6409828501289709
32,Lummen,Lummen,2,0.5397215116978911,0.6463476320902313
82,Beersel teller 1,Beersel,1,0.09529333594974562,0.09529333594974562
83,Beersel teller 2,Beersel,1,0.04210945741063776,0.04210945741063776
