site_id,site_name,site_gemeente,bike_crash_count_250m,nearest_crash_distance_km,average_crash_distance_km
9,Heist op den Berg 2,Heist-op-den-Berg,6,0.06452259779731256,0.1459664954359501
64,Nieuwpoort teller 1,Nieuwpoort,6,0.08289435528707362,0.15640664707158936
6,Evergem 2,Evergem,6,0.15121327064918383,0.18930942108246154
73,Herent teller 2,Herent,5,0.01616298835069047,0.16796677326829798
3,Brasschaat 1,Brasschaat,5,0.03381275850024138,0.125731212108455
115,Aalter,Aalter,5,0.026961428983974255,0.10643095146954946
2,Brasschaat 2,Brasschaat,5,0.048811856872344676,0.12448159907349712
48,As,As,5,0.09461223862179018,0.1007088792638842
145,Overijse,District Vilvoorde-gewestwegen,5,0.12653254794415708,0.156689098787562
138,Hasselt-Kempische brug,Hasselt,5,0.16912559892755244,0.2020442254852291
42,Maasmechelen teller 2,Maasmechelen,5,0.052226217022887544,0.08061523304045684
41,Maasmechelen teller 1,Maasmechelen,5,0.030783648186253128,0.0847067430073885
54,Brugge teller 2,Brugge,4,0.06538894441693058,0.18583171007229826
72,Herent teller 1,Herent,4,0.018331413873627384,0.15002871062472023
96,Lier teller 2,Lier,4,0.042052272668087566,0.0899523435667212
8,Heist op den Berg 1,Heist-op-den-Berg,4,0.2203671086322294,0.2330552451461262
87,Aarschot,Aarschot,4,0.02607064236629949,0.1608280640735595
146,Overijse 2,District Vilvoorde-gewestwegen,4,0.19034342994347628,0.20466371867198177
75,Kortrijk teller 2,Kortrijk,4,0.029325817037671672,0.15838134703678153
55,Torhout teller 1,Torhout,4,0.149574239944794,0.16491409671924978
95,Lier teller 1,Lier,4,0.05114385794910293,0.08881266553710987
94,Herentals teller 2,Herentals,4,0.0287625808732144,0.09981268485408526
114,Deinze teller 1,Nazareth,4,0.13910552742198876,0.15367336862898837
56,Torhout teller 2,Torhout,4,0.14577638376367227,0.16168434132287107
66,Nieuwpoort totem,Nieuwpoort,4,0.24641590435926183,0.24759885693484762
49,Bokrijk,Genk,4,0.06256988158124158,0.07164553410517632
113,Deinze teller 2,Deinze,4,0.15507235690539714,0.1663057352961561
98,Geel teller 2,Geel,3,0.07680893683120989,0.1327738811224328
53,Brugge teller 1,Brugge,3,0.059950975093986066,0.17152201771831965
10,Aalst 2,Aalst,3,0.1309027217619533,0.1973647317615629
12,Tervuren,Kraainem,3,0.17473059259368434,0.18428881781433393
37,Lommel teller 1,Lommel,3,0.020727290223475005,0.07856702910281586
27,Grimbergen,Meise,3,0.22821475820148715,0.23820061734221865
44,Maaseik teller 2,Maaseik,3,0.02430369582660021,0.09905183825943968
137,Hasselt-Kempische brug,Hasselt,3,0.22126583413243234,0.2314835820688976
38,Lommel teller 2,Lommel,3,0.01368120758983138,0.08759325493017824
108,Heverlee teller 1,Leuven,2,0.031025719849177923,0.1068949777055261
136,Gent R4,Gent,2,0.20741498980610706,0.20930808015280944
97,Geel teller 1,Geel,2,0.04860461669169923,0.04959772184092717
124,Beveren teller 2,Beveren,2,0.05894547748349357,0.06912456907963707
74,Kortrijk teller 1,Kortrijk,2,0.04430739062769007,0.09022526207095019
93,Nijlen teller 2,Nijlen,2,0.07710784450357656,0.14086027092888737
78,Pepingen teller 1,Pepingen,2,0.014930343558190519,0.04355783215740506
13,Gent,Gent,2,0.02192997927259352,0.08231274600307142
26,Zaventem,Zaventem,2,0.20250759494466294,0.22515073659290033
92,Nijlen teller 1,Nijlen,2,0.08258608552870263,0.1459910245111246
61,Wervik teller 2,Wervik,2,0.01941670133924577,0.09094988701659311
62,Wervik teller 1,Wervik,2,0.02985968524690711,0.12007761855587956
71,Kampenhout teller 2,Kampenhout,2,0.15716749015911824,0.1729729156671971
43,Maaseik teller 1,Maaseik,2,0.01700078575125704,0.021771106835440594
79,Pepingen teller 2,Pepingen,2,0.029615318746782908,0.05271010799076857
104,Malle teller 2,Malle,1,0.225680341171791,0.225680341171791
28,Heers,Heers,1,0.17287455442536087,0.17287455442536087
128,Lokeren teller 1,Lokeren,1,0.05619099540831618,0.05619099540831618
129,Lokeren teller 2,Lokeren,1,0.03133475586871895,0.03133475586871895
132,Gierde lille,Lille,1,0.23393355660876358,0.23393355660876358
133,Gierde Lille Totem,Lille,1,0.24531899223905507,0.24531899223905507
31,Herk De Stad,Herk-de-Stad,1,0.0300005173127875,0.0300005173127875
30,Herk De Stad,Herk-de-Stad,1,0.06752999637106614,0.06752999637106614
90,Brecht teller 1,Brecht,1,0.19494489153485464,0.19494489153485464
126,Hamme totem,Hamme,1,0.05251729009160452,0.05251729009160452
