crash_row_id,site_id,site_name,site_gemeente,site_lat,site_long,distance_km,crash_lat,crash_long,DT_YEAR_COLLISION,DT_MONTH_COLLISION,DT_TIME,CD_NIS,TX_MUNTY_COLLISION_NL,TX_WEATHER_NL,TX_ROAD_CONDITION_NL,TX_LIGHT_CONDITION_NL,TX_CLASS_ACCIDENTS_NL,CD_ROAD_USR_TYPE1,TX_ROAD_USR_TYPE1_NL,CD_ROAD_USR_TYPE2,TX_ROAD_USR_TYPE2_NL,TX_CROSSWAY_NL,CD_ROAD_TYPE_NL,TX_BUILD_UP_AREA_NL,TX_COLLISION_TYPE_NL,TX_OBSTACLES_NL
96,45,Pelt teller 1,Pelt,51.23127,5.44377,0.971682172016907,51.232667426635,5.42999402108764,2017,1,10,72043,Pelt,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto,Buiten Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
96,46,Pelt teller 2,Pelt,51.231,5.44375,0.9755684412131677,51.232667426635,5.42999402108764,2017,1,10,72043,Pelt,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto,Buiten Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
97,46,Pelt teller 2,Pelt,51.231,5.44375,1.8915348245209795,51.21407296113229,5.441055031416027,2017,1,18,72043,Pelt,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,3,Fiets,9,personenauto,Buiten Kruispunt,Gemeenteweg,buiten bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
97,45,Pelt teller 1,Pelt,51.23127,5.44377,1.9215481080673673,51.21407296113229,5.441055031416027,2017,1,18,72043,Pelt,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,3,Fiets,9,personenauto,Buiten Kruispunt,Gemeenteweg,buiten bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
107,21,Bilzen,Bilzen,50.86015,5.50161,1.6302901687892641,50.87242898700695,5.514304192935913,2017,1,18,73006,Bilzen,Regenval,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,3,Fiets,9,personenauto,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
108,43,Maaseik teller 1,Maaseik,51.09344,5.79715,1.2421196232307072,51.097420511905945,5.780530629347846,2017,1,11,72021,Maaseik,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
108,44,Maaseik teller 2,Maaseik,51.09359,5.79726,1.2434868133554746,51.097420511905945,5.780530629347846,2017,1,11,72021,Maaseik,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets,Buiten Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
109,25,Bree,Bree,51.13679500160176,5.597669323604317,0.28594037088357077,51.13907135257048,5.5957628264363555,2017,1,10,72004,Bree,Sneeuwval,"Ijzel, sneeuw",Dag,met lichtgewonden,3,Fiets,11,een weggebruiker tegen een hindernis,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Weggebruiker tegen hindernis buiten rijbaan,Andere hindernis
110,151,Leuven,District Leuven,50.8690262,4.6854839,0.9945394233734225,50.8629816031238,4.695929211003067,2017,1,17,24062,Leuven,Regenval,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,3,Fiets,6,Bromfiets,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Tussen 2 bestuurders: Frontale botsing,Geen hindernis
110,108,Heverlee teller 1,Leuven,50.8471728,4.6954674,1.7581575839743995,50.8629816031238,4.695929211003067,2017,1,17,24062,Leuven,Regenval,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,3,Fiets,6,Bromfiets,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Tussen 2 bestuurders: Frontale botsing,Geen hindernis
