group_id,months_observed,total_crashes,average_monthly_crashes,total_cyclists,average_monthly_cyclists,crash_month_share,crashes_per_10000_cyclists,smoothed_crashes_per_10000_cyclists,group_name,gemeente,lat,long,member_site_count,member_site_ids,historical_risk_rank
21,27,54.0,2.0,1970977.0,72999.14814814815,0.9629629629629629,0.2739757998190745,0.27363544038563237,Dendermonde totem,Dendermonde,51.0373312,4.102261,2,"122,125",28
16,32,28.0,0.875,1043195.0,32599.84375,0.4375,0.2684061944315301,0.26785052069305154,Brugge,Brugge,51.22632,3.24095,2,"52,142",29
86,30,4.0,0.13333333333333333,148854.0,4961.8,0.13333333333333333,0.2687196850605291,0.2651150291288642,Wemmel teller 1,Wemmel,50.914285,4.295695,2,"80,81",30
43,65,19.0,0.2923076923076923,723483.0,11130.507692307692,0.24615384615384617,0.26261847203044164,0.26194585844688173,Heist op den Berg 2,Heist-op-den-Berg,51.06904,4.69524,1,9,31
91,28,9.0,0.32142857142857145,358837.0,12815.607142857143,0.25,0.25081025646742117,0.2499796588591168,Zaventem totem,Zaventem,50.8871216,4.4597084,1,111,32
85,32,16.0,0.5,652996.0,20406.125,0.34375,0.24502447181912293,0.2446955615883092,Vilvoorde,Vilvoorde,50.91372,4.41497,1,47,33
42,65,14.0,0.2153846153846154,586380.0,9021.23076923077,0.2153846153846154,0.23875302704730722,0.23855186309139534,Heist op den Berg 1,Heist-op-den-Berg,51.06759,4.68823,1,8,34
48,31,13.0,0.41935483870967744,561698.0,18119.290322580644,0.2903225806451613,0.2314410946807715,0.23143087760645328,Ieper,Ieper,50.85025,2.85616,2,"67,68",35
71,28,12.0,0.42857142857142855,527744.0,18848.0,0.39285714285714285,0.2273829735629396,0.22748978439859524,Melle teller 2,Melle,50.9986113,3.8040599,2,"116,117",36
10,25,5.0,0.2,228990.0,9159.6,0.16,0.218350146294598,0.21916894569534387,Beveren teller 2,Beveren,51.1964712,4.2361077,1,124,37
72,31,3.0,0.0967741935483871,155999.0,5032.225806451613,0.0967741935483871,0.1923089250572119,0.195864997787525,Meulebeke teller 1,Meulebeke,50.960385,3.24481,2,"57,58",38
61,27,9.0,0.3333333333333333,463447.0,17164.703703703704,0.2962962962962963,0.19419696319104449,0.19540944873392593,Lokeren teller 1,Lokeren,51.09628,3.97024,2,"128,129",39
1,65,45.0,0.6923076923076923,2360901.0,36321.553846153845,0.5076923076923077,0.19060519691422892,0.19087348644315538,Aalst 2,Aalst,50.93455666666667,4.015630000000001,3,"10,11,19",40
11,65,9.0,0.13846153846153847,482925.0,7429.615384615385,0.12307692307692308,0.18636434228917534,0.18777698961665046,Bilzen,Bilzen,50.86015,5.50161,1,21,41
92,27,7.0,0.25925925925925924,385676.0,14284.296296296296,0.2222222222222222,0.18149949698710835,0.18344534056569486,Zele teller 1,Zele,51.0605869,4.055221850000001,2,"120,121",42
82,65,46.0,0.7076923076923077,2566199.0,39479.984615384616,0.5076923076923077,0.17925344059443557,0.1795696832752468,Tienen 2,Tienen,50.81330918367914,4.935166168467146,3,"22,23,24",43
60,23,3.0,0.13043478260869565,172100.0,7482.608695652174,0.13043478260869565,0.17431725740848344,0.17907782054620605,Gierde lille,Lille,51.24541825,4.82981335,2,"132,133",44
