site_id,group_id,group_name,group_base_name,member_site_count,group_lat,group_long,gemeente,datum_van
40,79,Peer teller 1,peer,2,51.134315,5.478545,Peer,2022-04-20
45,80,Pelt teller 1,pelt,2,51.231135,5.443759999999999,Pelt,2022-04-30
46,80,Pelt teller 1,pelt,2,51.231135,5.443759999999999,Pelt,2022-04-30
78,81,Pepingen teller 1,pepingen,2,50.758359999999996,4.165285,Pepingen,2022-07-13
79,81,Pepingen teller 1,pepingen,2,50.758359999999996,4.165285,Pepingen,2022-07-13
106,82,St. pieters leeuw teller 1,st. pieters leeuw,1,50.75533,4.24951,Sint-Pieters-Leeuw,2022-08-04
22,83,Tienen 2,tienen,3,50.81330918367914,4.935166168467146,Tienen,2019-08-31
23,83,Tienen 2,tienen,3,50.81330918367914,4.935166168467146,Tienen,2019-08-31
24,83,Tienen 2,tienen,3,50.81330918367914,4.935166168467146,Tienen,2019-08-31
29,84,Tongeren,tongeren,1,50.79286,5.52825,Tongeren,2022-04-14
55,85,Torhout teller 1,torhout,2,51.07154,3.082525,Torhout,2022-06-02
56,85,Torhout teller 1,torhout,2,51.07154,3.082525,Torhout,2022-06-02
47,86,Vilvoorde,vilvoorde,1,50.91372,4.41497,Vilvoorde,2022-05-19
80,87,Wemmel teller 1,wemmel,2,50.914285,4.295695,Wemmel,2022-07-13
81,87,Wemmel teller 1,wemmel,2,50.914285,4.295695,Wemmel,2022-07-13
61,88,Wervik teller 2,wervik,2,50.805674999999994,3.0918200000000002,Wervik,2022-06-05
62,88,Wervik teller 2,wervik,2,50.805674999999994,3.0918200000000002,Wervik,2022-06-05
112,89,Geel totem,geel,2,51.1348979,4.9397605,Westerlo,2022-09-06
127,89,Geel totem,geel,2,51.1348979,4.9397605,Westerlo,2022-10-26
88,90,Westerlo teller 1,westerlo,2,51.081955,4.913295,Westerlo,2022-07-16
89,90,Westerlo teller 1,westerlo,2,51.081955,4.913295,Westerlo,2022-07-16
26,91,Zaventem,zaventem,1,50.86995,4.45444,Zaventem,2021-08-06
111,92,Zaventem totem,zaventem,1,50.8871216,4.4597084,Zaventem,2022-09-02
120,93,Zele teller 1,zele,2,51.060586900000004,4.055221850000001,Zele,2022-10-05
121,93,Zele teller 1,zele,2,51.060586900000004,4.055221850000001,Zele,2022-10-05
109,94,Zemst,zemst,1,50.9903936,4.4707023,Zemst,2022-08-26
149,95,Machelen,machelen,1,50.88297881,4.43356644,,2025-08-28
