site_id,year,month,predicted_probability,predicted_label,radius_key,radius_label,naam,gemeente,datum_van,long,lat,forecast_risk_rank,risk_label
97,2024,11,0.09190508288889779,0,500m,500 m,Geel teller 1,Geel,2022-07-26,4.99698,51.14813,101,Lower risk
5,2024,11,0.09188867681690943,0,500m,500 m,Balen 2,Balen,2019-08-22,5.19003,51.16018,102,Lower risk
31,2024,11,0.08772075239363253,0,500m,500 m,Herk De Stad,Herk-de-Stad,2022-04-14,5.1775,50.94366,103,Lower risk
4,2024,11,0.08759486472420502,0,500m,500 m,Balen 1,Balen,2019-08-22,5.19011,51.16023,104,Lower risk
96,2024,11,0.08680012337339787,0,500m,500 m,Lier teller 2,Lier,2022-07-26,4.58444,51.11705,105,Lower risk
67,2024,11,0.08630165721486657,0,500m,500 m,Ieper totem,Ieper,2022-06-30,2.85624,50.85018,106,Lower risk
59,2024,11,0.08609629581243475,0,500m,500 m,Ardooie teller 1,Ardooie,2022-06-03,3.18479,50.96784,107,Lower risk
78,2024,11,0.08608379135447261,0,500m,500 m,Pepingen teller 1,Pepingen,2022-07-13,4.1652,50.75824,108,Lower risk
81,2024,11,0.0842400124094534,0,500m,500 m,Wemmel teller 2,Wemmel,2022-07-13,4.29568,50.91439,109,Lower risk
98,2024,11,0.08294679087959735,0,500m,500 m,Geel teller 2,Geel,2022-07-26,4.99643,51.1481,110,Lower risk
123,2024,11,0.08032931989597078,0,500m,500 m,Beveren teller 1,Beveren,2022-10-06,4.2362771,51.1964555,111,Lower risk
106,2024,11,0.079164545305908,0,500m,500 m,St. pieters leeuw teller 1,Sint-Pieters-Leeuw,2022-08-04,4.24951,50.75533,112,Lower risk
62,2024,11,0.07687984795729287,0,500m,500 m,Wervik teller 1,Wervik,2022-06-05,3.09154,50.8058,113,Lower risk
50,2024,11,0.07399509695561035,0,500m,500 m,"Brugge, Sint-Andries",Brugge,2022-06-01,3.16252,51.19291,114,Lower risk
60,2024,11,0.07323742400086027,0,500m,500 m,Ardooie teller 2,Ardooie,2022-06-03,3.18411,50.96783,115,Lower risk
61,2024,11,0.07259314192851501,0,500m,500 m,Wervik teller 2,Wervik,2022-06-05,3.0921,50.80555,116,Lower risk
83,2024,11,0.0720523088234571,0,500m,500 m,Beersel teller 2,Beersel,2022-07-13,4.33304,50.75175,117,Lower risk
