site_id,months_observed,total_crashes,average_monthly_crashes,total_cyclists,average_monthly_cyclists,crash_month_share,crashes_per_10000_cyclists,smoothed_crashes_per_10000_cyclists,radius_key,radius_label,site_nr,long,lat,naam,gemeente,datum_van,historical_risk_rank
45,31,132.0,4.258064516129032,191672.0,6182.967741935484,1.0,6.8867648900204514,6.77797066042295,2_5km,2.5 km,300023741,5.44377,51.23127,Pelt teller 1,Pelt,2022-04-30,43
102,28,135.0,4.821428571428571,204812.0,7314.714285714285,1.0,6.591410659531668,6.502760058429285,2_5km,2.5 km,300026275,5.04474,50.9779,Diest teller 2,Diest,2022-08-02,44
6,62,366.0,5.903225806451613,572198.0,9229.0,1.0,6.396387264548285,6.366980413044145,2_5km,2.5 km,100052866,3.70298,51.10894,Evergem 2,Evergem,2019-08-22,45
67,29,171.0,5.896551724137931,267089.0,9209.965517241379,1.0,6.4023602619351605,6.340337728047952,2_5km,2.5 km,300025382,2.85624,50.85018,Ieper totem,Ieper,2022-06-30,46
68,29,170.0,5.862068965517241,271224.0,9352.551724137931,1.0,6.267881898357078,6.211459953987062,2_5km,2.5 km,300025383,2.85608,50.85032,Ieper,Ieper,2022-06-30,47
37,31,152.0,4.903225806451613,243479.0,7854.1612903225805,1.0,6.242838191384062,6.181204190691248,2_5km,2.5 km,300023527,5.29211,51.23299,Lommel teller 1,Lommel,2022-04-20,48
38,31,150.0,4.838709677419355,241795.0,7799.8387096774195,1.0,6.203602225025332,6.143083458699603,2_5km,2.5 km,300023528,5.29189,51.23277,Lommel teller 2,Lommel,2022-04-20,49
59,29,69.0,2.3793103448275863,110120.0,3797.2413793103447,0.896551724137931,6.265891754449691,6.1338313076133915,2_5km,2.5 km,300024551,3.18479,50.96784,Ardooie teller 1,Ardooie,2022-06-03,50
46,31,132.0,4.258064516129032,221744.0,7153.032258064516,1.0,5.952810448084278,5.897661886362952,2_5km,2.5 km,300023743,5.44375,51.231,Pelt teller 2,Pelt,2022-04-30,51
76,29,142.0,4.896551724137931,243727.0,8404.379310344828,1.0,5.826190779027354,5.7807169039533655,2_5km,2.5 km,300025592,4.69597,50.84606,Heverlee teller 2,Leuven,2022-07-07,52
118,26,418.0,16.076923076923077,727944.0,27997.846153846152,1.0,5.742199949446661,5.727688234547814,2_5km,2.5 km,300027898,3.7681359,51.028049,Gent teller 1,Gent,2022-10-04,53
56,29,95.0,3.2758620689655173,164867.0,5685.068965517241,0.896551724137931,5.76222045648917,5.699803233070568,2_5km,2.5 km,300024505,3.08244,51.07147,Torhout teller 2,Torhout,2022-06-02,54
96,29,146.0,5.0344827586206895,255882.0,8823.51724137931,1.0,5.705754996443673,5.6668024774282495,2_5km,2.5 km,300026105,4.58444,51.11705,Lier teller 2,Lier,2022-07-26,55
58,29,33.0,1.1379310344827587,57904.0,1996.6896551724137,0.6896551724137931,5.699088145896656,5.547190670665967,2_5km,2.5 km,300024550,3.24471,50.96021,Meulebeke teller 2,Meulebeke,2022-06-03,56
95,29,144.0,4.9655172413793105,269521.0,9293.827586206897,1.0,5.342811877367626,5.318490900138449,2_5km,2.5 km,300026104,4.58437,51.11687,Lier teller 1,Lier,2022-07-26,57
52,30,421.0,14.033333333333333,794678.0,26489.266666666666,1.0,5.297743236883367,5.28984769809288,2_5km,2.5 km,300024459,3.24095,51.22632,Brugge,Brugge,2022-06-01,58
116,27,119.0,4.407407407407407,227089.0,8410.703703703704,0.9629629629629629,5.240236206949698,5.215800806716415,2_5km,2.5 km,300027878,3.8040599,50.9986113,Melle teller 2,Melle,2022-10-01,59
132,22,42.0,1.9090909090909092,79536.0,3615.2727272727275,0.9090909090909091,5.280627640313821,5.211402143670235,2_5km,2.5 km,300030471,4.8298851,51.245445,Gierde lille,Lille,2023-02-15,60
101,28,135.0,4.821428571428571,259178.0,9256.357142857143,1.0,5.208775436186714,5.188401064039235,2_5km,2.5 km,300026274,5.04481,50.97799,Diest teller 1,Diest,2022-08-02,61
3,62,604.0,9.741935483870968,1170432.0,18877.935483870966,1.0,5.1604877515310585,5.156245237256533,2_5km,2.5 km,100052863,4.47222,51.27503,Brasschaat 1,Brasschaat,2019-08-22,62
113,27,92.0,3.4074074074074074,182320.0,6752.592592592592,0.9629629629629629,5.0460728389644585,5.025844120621713,2_5km,2.5 km,300027489,3.55578,50.96018,Deinze teller 2,Deinze,2022-09-21,63
133,22,42.0,1.9090909090909092,83904.0,3813.818181818182,0.9090909090909091,5.005720823798627,4.968464223770645,2_5km,2.5 km,300030472,4.8297416,51.2453915,Gierde Lille Totem,Lille,2023-02-15,64
