site_id,year,month,predicted_probability,predicted_label,predicted_count,forecast_risk_score,naam,gemeente,datum_van,forecast_risk_rank
26,2024,11,0.6170696229893176,1.0,0.5014551604988094,0.7588652482269503,Zaventem,Zaventem,2021-08-06,33
1,2024,11,0.6419406380428696,1.0,0.4583463848779455,0.74822695035461,Machelen,Machelen,2019-08-22,34
88,2024,11,0.5811649277068719,1.0,0.485653650936137,0.7340425531914894,Westerlo teller 1,Westerlo,2022-07-16,35
127,2024,11,0.4897299040658859,0.0,0.5304361664866316,0.7304964539007093,Geel totem,Westerlo,2022-10-26,36
47,2024,11,0.641166143207564,1.0,0.4350346173871081,0.7198581560283688,Vilvoorde,Vilvoorde,2022-05-19,37
14,2024,11,0.6438392016025252,1.0,0.4179710575905744,0.7092198581560284,Genk,Genk,2019-08-22,38
99,2024,11,0.5650969855759869,1.0,0.4536651707522777,0.7021276595744681,Mechelen teller 1,Mechelen,2022-07-28,39
73,2024,11,0.5787884498799942,1.0,0.4339030330125263,0.6808510638297872,Herent teller 2,Herent,2022-07-07,40
108,2024,11,0.4566898778618651,0.0,0.4883717549522726,0.6808510638297872,Heverlee teller 1,Leuven,2022-08-25,41
46,2024,11,0.5931374951239476,1.0,0.4014122613057932,0.6702127659574468,Pelt teller 2,Pelt,2022-04-30,42
45,2024,11,0.599014461483097,1.0,0.3972314530871328,0.6666666666666667,Pelt teller 1,Pelt,2022-04-30,43
27,2024,11,0.5212726773049389,1.0,0.4187156793908846,0.6595744680851063,Grimbergen,Meise,2021-08-14,44
3,2024,11,0.6769355251518793,1.0,0.3548321710200603,0.6382978723404256,Brasschaat 1,Brasschaat,2019-08-22,45
110,2024,11,0.4690301206400316,0.0,0.4281498896774381,0.6382978723404256,Herentals totem,Herentals,2022-08-31,46
52,2024,11,0.4273752104206307,0.0,0.4811777639748548,0.6382978723404256,Brugge,Brugge,2022-06-01,47
54,2024,11,0.4218899071581933,0.0,0.4777620327849544,0.6312056737588652,Brugge teller 2,Brugge,2022-06-02,48
70,2024,11,0.5808122784062344,1.0,0.3712418882380823,0.6276595744680851,Kampenhout teller 1,Kampenhout,2022-07-07,49
112,2024,11,0.4014656422803899,0.0,0.4824299737710255,0.6205673758865248,Geel teller 2,Westerlo,2022-09-06,50
71,2024,11,0.5610848752945858,1.0,0.3701398773238267,0.6134751773049645,Kampenhout teller 2,Kampenhout,2022-07-07,51
117,2024,11,0.4759209423410099,0.0,0.3916497527084832,0.6134751773049645,Melle teller 1,Melle,2022-10-01,52
20,2024,11,0.4853279896771668,0.0,0.3841072070668795,0.6099290780141844,Brugge,Brugge,2019-08-22,53
4,2024,11,0.6287695286152083,1.0,0.3530637829923768,0.6063829787234043,Balen 1,Balen,2019-08-22,54
2,2024,11,0.458878533473892,0.0,0.3999195028473184,0.6063829787234043,Brasschaat 2,Brasschaat,2019-08-22,55
5,2024,11,0.617032937235424,1.0,0.3533307942269006,0.6028368794326241,Balen 2,Balen,2019-08-22,56
65,2024,11,0.4364670432542894,0.0,0.4158639339726525,0.5921985815602837,Nieuwpoort teller 2,Nieuwpoort,2022-06-24,57
116,2024,11,0.4557223707126553,0.0,0.3762798662017284,0.5780141843971631,Melle teller 2,Melle,2022-10-01,58
53,2024,11,0.3604527619401775,0.0,0.4454126443387848,0.5709219858156028,Brugge teller 1,Brugge,2022-06-02,59
109,2024,11,0.3510903612609283,0.0,0.4748273837569742,0.5709219858156028,Zemst,Zemst,2022-08-26,60
72,2024,11,0.4928197273734507,0.0,0.3545641993369141,0.5673758865248226,Herent teller 1,Herent,2022-07-07,61
76,2024,11,0.4163639175536963,0.0,0.4028700366527957,0.5673758865248226,Heverlee teller 2,Leuven,2022-07-07,62
48,2024,11,0.3587370755641734,0.0,0.4412317712371265,0.5531914893617021,As,As,2022-06-01,63
38,2024,11,0.4892656104324149,0.0,0.3498629398488966,0.549645390070922,Lommel teller 2,Lommel,2022-04-20,64
21,2024,11,0.4540050068834605,0.0,0.3606505436136162,0.549645390070922,Bilzen,Bilzen,2019-08-31,65
87,2024,11,0.3330002664705781,0.0,0.4425543289087185,0.5390070921985816,Aarschot,Aarschot,2022-07-16,66
129,2024,11,0.4682551097005187,0.0,0.3469931948991271,0.5212765957446809,Lokeren teller 2,Lokeren,2022-10-29,67
19,2024,11,0.4145677770903413,0.0,0.3621138873199397,0.5177304964539007,Aalst 1,Aalst,2019-08-22,68
37,2024,11,0.5064009019734237,1.0,0.3230030311397578,0.5070921985815603,Lommel teller 1,Lommel,2022-04-20,69
43,2024,11,0.4662427253913364,0.0,0.3428616135658827,0.5070921985815603,Maaseik teller 1,Maaseik,2022-04-28,70
60,2024,11,0.3701282547127754,0.0,0.3617132725940097,0.49645390070921985,Ardooie teller 2,Ardooie,2022-06-03,71
11,2024,11,0.4331658685304577,0.0,0.3494006165860003,0.4929078014184397,Aalst 3,Aalst,2019-08-22,72
75,2024,11,0.3668890068127031,0.0,0.3673547225088401,0.4929078014184397,Kortrijk teller 2,Kortrijk,2022-07-07,73
80,2024,4,0.4389826399254198,0.0,0.345131900812404,0.4858156028368794,Wemmel teller 1,Wemmel,2022-07-13,74
128,2024,11,0.4301544357603454,0.0,0.3487751224648591,0.4858156028368794,Lokeren teller 1,Lokeren,2022-10-29,75
