site_id,year,month,crash_count_2_5km,nearest_crash_distance_km,average_crash_distance_km,crash_happened_in_month_2_5km
52,2018,1,9,0.2285605610302623,1.4961783792698757,1
52,2018,2,12,0.2267571578438302,1.2749735010877508,1
52,2018,3,13,0.684602359859656,1.7914761343284757,1
52,2018,4,20,0.4937470640652727,1.6702988875620783,1
52,2018,5,15,0.2895110933439924,1.9822921982639972,1
52,2018,6,11,0.1145204773394853,1.4519825851977473,1
52,2018,7,9,0.2554551330810186,1.5313883521364446,1
52,2018,8,13,0.2789473206642921,1.5636645800783207,1
52,2018,9,10,0.5305795117033972,1.3787541567449648,1
52,2018,10,19,0.798315030966984,1.6996932295713585,1
52,2018,11,17,0.4653811020605709,1.5966277481113527,1
52,2018,12,12,0.6890919173102353,1.7184367084060845,1
52,2019,1,13,0.7953997676367409,1.8467492330720536,1
52,2019,2,11,0.2285948199465151,1.7007311707521402,1
52,2019,3,11,0.6265647956148387,1.6663764331939896,1
52,2019,4,17,0.8028829648059509,1.7689857272376828,1
52,2019,5,11,1.014405709632216,1.7140381278576706,1
52,2019,6,18,0.5918663027879525,1.7850911490384958,1
52,2019,7,15,0.514267899368567,1.6914178676035896,1
52,2019,8,16,0.7414194670457248,1.6436850069385742,1
52,2019,9,11,1.2044842745885835,1.973644196897873,1
52,2019,10,9,1.1669304767397153,1.88503834400838,1
52,2019,11,8,1.651741878577063,1.9835000297304024,1
52,2019,12,9,0.0465936026314612,1.9531888471814567,1
52,2020,1,13,1.2462583966947551,1.731436401056763,1
52,2020,2,16,1.1693967102824163,1.9036807385621766,1
52,2020,3,11,0.2511880981224165,1.2266053084609807,1
52,2020,4,2,1.3354637573888215,1.5676023899254592,1
52,2020,5,5,1.528266299728828,1.7778959278866449,1
52,2020,6,11,0.2457771177775056,1.7032374980598832,1
52,2020,7,11,0.7874372017454071,1.579596148931074,1
52,2020,8,8,1.0375587906959902,1.9372699909140676,1
52,2020,9,12,0.7181573688507863,1.5989024352377161,1
52,2020,10,12,0.6728511395076101,1.5972229773346476,1
52,2020,11,9,0.3973054038091387,1.6561185781527454,1
52,2020,12,9,0.6905576442430283,1.606623122707652,1
52,2021,1,5,0.5361349756029339,1.4807167246232709,1
52,2021,2,9,0.8312950942158986,1.7905797701832635,1
