model,threshold,accuracy,precision,recall,f1,balanced_precision_recall,tn,fp,fn,tp
logistic_regression,0.16,0.3196125907990315,0.30094043887147337,0.9815950920245399,0.46065259117082535,0.6412677654480066,48,1115,9,480
logistic_regression,0.17,0.32324455205811137,0.302076777847703,0.9815950920245399,0.4619826756496631,0.6418359349361215,54,1109,9,480
logistic_regression,0.18,0.32506053268765134,0.30164765525982257,0.9734151329243353,0.46057087566521526,0.6375313940920789,61,1102,13,476
logistic_regression,0.19,0.3311138014527845,0.3033205619412516,0.9713701431492843,0.46228710462287104,0.6373453525452679,72,1091,14,475
logistic_regression,0.2,0.3383777239709443,0.3049095607235142,0.9652351738241309,0.4634266077565047,0.6350723672738225,87,1076,17,472
logistic_regression,0.21,0.3523002421307506,0.3087557603686636,0.9591002044989775,0.46713147410358563,0.6339279824338205,113,1050,20,469
logistic_regression,0.22,0.36561743341404357,0.3132932531730127,0.9591002044989775,0.47230614300100704,0.6361967288359951,135,1028,20,469
logistic_regression,0.23,0.37409200968523004,0.31575388776200136,0.9550102249488752,0.47459349593495936,0.6353820563554383,151,1012,22,467
logistic_regression,0.24,0.38861985472154964,0.3202208419599724,0.9488752556237219,0.478844169246646,0.6345480487918471,178,985,25,464
logistic_regression,0.25,0.40375302663438256,0.3248587570621469,0.9406952965235174,0.48293963254593175,0.6327770267928321,207,956,29,460
logistic_regression,0.26,0.4158595641646489,0.3282828282828283,0.9304703476482618,0.48533333333333334,0.6293765879655451,232,931,34,455
logistic_regression,0.27,0.42675544794188863,0.3306213017751479,0.9141104294478528,0.485605649103748,0.6223658656115003,258,905,42,447
logistic_regression,0.28,0.44128329297820823,0.3358547655068079,0.9079754601226994,0.49033683048039756,0.6219151128147536,285,878,45,444
logistic_regression,0.29,0.45278450363196127,0.33927188226181254,0.8957055214723927,0.49213483146067416,0.6174887018671026,310,853,51,438
logistic_regression,0.3,0.4642857142857143,0.34285714285714286,0.8834355828220859,0.4939965694682676,0.6131463628396143,335,828,57,432
logistic_regression,0.31,0.47760290556900725,0.34796747967479674,0.8752556237218814,0.49796393251890636,0.611611551698339,361,802,61,428
logistic_regression,0.32,0.48789346246973364,0.3516209476309227,0.8650306748466258,0.5,0.6083258112387743,383,780,66,423
logistic_regression,0.33,0.49878934624697335,0.35598980458793544,0.8568507157464212,0.503001200480192,0.6064202601671783,405,758,70,419
logistic_regression,0.34,0.5175544794188862,0.3644366197183099,0.8466257668711656,0.5095384615384615,0.6055311932947378,441,722,75,414
