site_id,months_observed,total_crashes_500m,average_monthly_crashes_500m,total_cyclists,average_monthly_cyclists,crash_month_share,crashes_per_10000_cyclists,smoothed_crashes_per_10000_cyclists,naam,gemeente,datum_van,historical_risk_rank
80,24,6.0,0.25,66573.0,2773.875,0.16666666666666666,0.9012662791221666,0.8262680833078397,Wemmel teller 1,Wemmel,2022-07-13,17
94,29,13.0,0.4482758620689655,151526.0,5225.0344827586205,0.3448275862068966,0.8579385715982736,0.8250658177760577,Herentals teller 2,Herentals,2022-07-24,18
81,29,6.0,0.20689655172413793,78720.0,2714.4827586206898,0.13793103448275862,0.7621951219512195,0.7128804278092566,Wemmel teller 2,Wemmel,2022-07-13,19
45,31,14.0,0.45161290322580644,191672.0,6182.967741935484,0.3548387096774194,0.7304144580324722,0.710293075037428,Pelt teller 1,Pelt,2022-04-30,20
24,62,42.0,0.6774193548387096,626183.0,10099.725806451614,0.532258064516129,0.6707304414204793,0.665275658080454,Tienen 1,Tienen,2019-08-31,21
58,29,4.0,0.13793103448275862,57904.0,1996.6896551724137,0.10344827586206896,0.6907985631389887,0.6366523199707249,Meulebeke teller 2,Meulebeke,2022-06-03,22
27,39,23.0,0.5897435897435898,357134.0,9157.28205128205,0.46153846153846156,0.6440159715960956,0.635274746547856,Grimbergen,Meise,2021-08-14,23
17,62,79.0,1.2741935483870968,1255273.0,20246.33870967742,0.7419354838709677,0.6293451703334653,0.6269234064912466,Kortrijk 2,Kortrijk,2019-08-22,24
4,62,17.0,0.27419354838709675,266711.0,4301.790322580645,0.24193548387096775,0.6373940332419735,0.6260288794632264,Balen 1,Balen,2019-08-22,25
120,26,6.0,0.23076923076923078,92240.0,3547.6923076923076,0.19230769230769232,0.6504770164787511,0.6184226270812706,Zele teller 1,Zele,2022-10-05,26
15,62,69.0,1.1129032258064515,1112283.0,17940.048387096773,0.6612903225806451,0.6203457213676735,0.6176939159731357,Oostende 2,Oostende,2019-08-22,27
74,29,15.0,0.5172413793103449,239470.0,8257.586206896553,0.3448275862068966,0.6263832630392115,0.6142088102018445,Kortrijk teller 1,Kortrijk,2022-07-07,28
16,62,79.0,1.2741935483870968,1288076.0,20775.41935483871,0.7419354838709677,0.6133178477046386,0.6110782687730714,Kortrijk 1,Kortrijk,2019-08-22,29
18,62,69.0,1.1129032258064515,1210534.0,19524.74193548387,0.6612903225806451,0.5699963817620983,0.5679622695558114,Oostende 1,Oostende,2019-08-22,30
5,62,17.0,0.27419354838709675,298175.0,4809.274193548387,0.24193548387096775,0.5701349878427098,0.5620704525846647,Balen 2,Balen,2019-08-22,31
116,27,13.0,0.48148148148148145,227089.0,8410.703703703704,0.37037037037037035,0.5724627789104713,0.5618819234954359,Melle teller 2,Melle,2022-10-01,32
25,54,50.0,0.9259259259259259,914241.0,16930.38888888889,0.5740740740740741,0.54690174691356,0.5444602414817343,Bree,Bree,2020-05-09,33
46,31,12.0,0.3870967741935484,221744.0,7153.032258064516,0.3225806451612903,0.5411645861894797,0.5316637062983715,Pelt teller 2,Pelt,2022-04-30,34
72,29,11.0,0.3793103448275862,205046.0,7070.551724137931,0.27586206896551724,0.5364649883440789,0.5264399752757395,Herent teller 1,Herent,2022-07-07,35
75,29,15.0,0.5172413793103449,291672.0,10057.655172413793,0.3448275862068966,0.5142763103760388,0.5078529942205506,Kortrijk teller 2,Kortrijk,2022-07-07,36
60,29,5.0,0.1724137931034483,95127.0,3280.2413793103447,0.1724137931034483,0.5256131277134778,0.5060990186962698,Ardooie teller 2,Ardooie,2022-06-03,37
12,49,26.0,0.5306122448979592,516383.0,10538.42857142857,0.3673469387755102,0.5035022454263599,0.5000226736088694,Tervuren,Kraainem,2019-08-22,38
83,29,3.0,0.10344827586206896,58543.0,2018.7241379310344,0.10344827586206896,0.5124438446953521,0.48437112340854216,Beersel teller 2,Beersel,2022-07-13,39
22,62,34.0,0.5483870967741935,711576.0,11477.032258064517,0.43548387096774194,0.477812629993142,0.4756234544402207,Tienen 2,Tienen,2019-08-31,40
28,31,3.0,0.0967741935483871,60957.0,1966.3548387096773,0.0967741935483871,0.49215020424233474,0.4678451297558151,Heers,Heers,2022-04-14,41
