model,site_id,naam,gemeente,months_evaluated,actual_positive_months,predicted_positive_months,tn,fp,fn,tp,accuracy,precision,recall,specificity
logistic_regression,40,Peer teller 2,Peer,13,0,0,13,0,0,0,1.0,,,1.0
logistic_regression,103,Malle teller 1,Malle,13,0,0,13,0,0,0,1.0,,,1.0
logistic_regression,104,Malle teller 2,Malle,13,0,0,13,0,0,0,1.0,,,1.0
logistic_regression,132,Gierde lille,Lille,13,0,0,13,0,0,0,1.0,,,1.0
logistic_regression,133,Gierde Lille Totem,Lille,13,0,0,13,0,0,0,1.0,,,1.0
logistic_regression,31,Herk De Stad,Herk-de-Stad,13,0,1,12,1,0,0,0.9230769230769231,0.0,,0.9230769230769231
logistic_regression,67,Ieper totem,Ieper,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
logistic_regression,68,Ieper,Ieper,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
logistic_regression,78,Pepingen teller 1,Pepingen,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
logistic_regression,85,Asse teller 1,Asse,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
logistic_regression,86,Asse teller 2,Asse,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
logistic_regression,92,Nijlen teller 1,Nijlen,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
logistic_regression,93,Nijlen teller 2,Nijlen,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
logistic_regression,113,Deinze teller 2,Deinze,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
logistic_regression,114,Deinze teller 1,Nazareth,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
logistic_regression,131,Nevele,Deinze,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
logistic_regression,30,Herk De Stad,Herk-de-Stad,13,0,2,11,2,0,0,0.8461538461538461,0.0,,0.8461538461538461
logistic_regression,36,Lanaken teller 2,Lanaken,13,0,2,11,2,0,0,0.8461538461538461,0.0,,0.8461538461538461
logistic_regression,55,Torhout teller 1,Torhout,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
logistic_regression,56,Torhout teller 2,Torhout,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
logistic_regression,57,Meulebeke teller 1,Meulebeke,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
logistic_regression,58,Meulebeke teller 2,Meulebeke,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
logistic_regression,79,Pepingen teller 2,Pepingen,13,1,1,11,1,1,0,0.8461538461538461,0.0,0.0,0.9166666666666666
logistic_regression,81,Wemmel teller 2,Wemmel,13,1,1,11,1,1,0,0.8461538461538461,0.0,0.0,0.9166666666666666
logistic_regression,82,Beersel teller 1,Beersel,13,1,1,11,1,1,0,0.8461538461538461,0.0,0.0,0.9166666666666666
logistic_regression,105,St. pieters leeuw teller 2,Halle,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
logistic_regression,32,Lummen,Lummen,13,0,3,10,3,0,0,0.7692307692307693,0.0,,0.7692307692307693
logistic_regression,34,Heers teller 1,Heers,13,2,1,10,1,2,0,0.7692307692307693,0.0,0.0,0.9090909090909091
logistic_regression,35,Lanaken teller 1,Lanaken,13,0,3,10,3,0,0,0.7692307692307693,0.0,,0.7692307692307693
logistic_regression,44,Maaseik teller 2,Maaseik,13,3,0,10,0,3,0,0.7692307692307693,,0.0,1.0
logistic_regression,60,Ardooie teller 2,Ardooie,13,2,1,10,1,2,0,0.7692307692307693,0.0,0.0,0.9090909090909091
logistic_regression,83,Beersel teller 2,Beersel,13,1,2,10,2,1,0,0.7692307692307693,0.0,0.0,0.8333333333333334
logistic_regression,97,Geel teller 1,Geel,13,3,0,10,0,3,0,0.7692307692307693,,0.0,1.0
logistic_regression,98,Geel teller 2,Geel,13,3,0,10,0,3,0,0.7692307692307693,,0.0,1.0
logistic_regression,134,Retie,Dessel,13,1,2,10,2,1,0,0.7692307692307693,0.0,0.0,0.8333333333333334
logistic_regression,9,Heist op den Berg 2,Heist-op-den-Berg,13,2,2,9,2,2,0,0.6923076923076923,0.0,0.0,0.8181818181818182
logistic_regression,59,Ardooie teller 1,Ardooie,13,2,2,9,2,2,0,0.6923076923076923,0.0,0.0,0.8181818181818182
logistic_regression,84,Roeselare totem,Izegem,13,1,3,9,3,1,0,0.6923076923076923,0.0,0.0,0.75
logistic_regression,106,St. pieters leeuw teller 1,Sint-Pieters-Leeuw,13,2,2,9,2,2,0,0.6923076923076923,0.0,0.0,0.8181818181818182
logistic_regression,121,Zele teller 2,Zele,13,4,0,9,0,4,0,0.6923076923076923,,0.0,1.0
logistic_regression,129,Lokeren teller 2,Lokeren,13,3,1,9,1,3,0,0.6923076923076923,0.0,0.0,0.9
logistic_regression,135,Retie 2,Dessel,13,0,4,9,4,0,0,0.6923076923076923,0.0,,0.6923076923076923
logistic_regression,136,Gent R4,Gent,13,4,0,9,0,4,0,0.6923076923076923,,0.0,1.0
logistic_regression,139,Houthalen-Helchteren,Houthalen-Helchteren,13,2,2,9,2,2,0,0.6923076923076923,0.0,0.0,0.8181818181818182
logistic_regression,10,Aalst 2,Aalst,13,4,1,8,1,4,0,0.6153846153846154,0.0,0.0,0.8888888888888888
logistic_regression,28,Heers,Heers,13,2,3,8,3,2,0,0.6153846153846154,0.0,0.0,0.7272727272727273
logistic_regression,33,Lummen,Lummen,13,0,5,8,5,0,0,0.6153846153846154,0.0,,0.6153846153846154
logistic_regression,116,Melle teller 2,Melle,13,5,0,8,0,5,0,0.6153846153846154,,0.0,1.0
logistic_regression,120,Zele teller 1,Zele,13,5,0,8,0,5,0,0.6153846153846154,,0.0,1.0
logistic_regression,124,Beveren teller 2,Beveren,12,2,2,8,2,2,0,0.6666666666666666,0.0,0.0,0.8
logistic_regression,128,Lokeren teller 1,Lokeren,13,3,2,8,2,3,0,0.6153846153846154,0.0,0.0,0.8
logistic_regression,53,Brugge teller 1,Brugge,13,5,1,7,1,5,0,0.5384615384615384,0.0,0.0,0.875
logistic_regression,72,Herent teller 1,Herent,13,4,2,7,2,4,0,0.5384615384615384,0.0,0.0,0.7777777777777778
logistic_regression,117,Melle teller 1,Melle,13,5,1,7,1,5,0,0.5384615384615384,0.0,0.0,0.875
logistic_regression,11,Aalst 3,Aalst,13,6,1,6,1,6,0,0.46153846153846156,0.0,0.0,0.8571428571428571
logistic_regression,54,Brugge teller 2,Brugge,13,5,3,5,3,5,0,0.38461538461538464,0.0,0.0,0.625
logistic_regression,80,Wemmel teller 1,Wemmel,8,1,2,5,2,1,0,0.625,0.0,0.0,0.7142857142857143
logistic_regression,99,Mechelen teller 1,Mechelen,13,8,0,5,0,8,0,0.38461538461538464,,0.0,1.0
logistic_regression,88,Westerlo teller 1,Westerlo,13,4,5,4,5,4,0,0.3076923076923077,0.0,0.0,0.4444444444444444
logistic_regression,38,Lommel teller 2,Lommel,13,2,8,3,8,2,0,0.23076923076923078,0.0,0.0,0.2727272727272727
logistic_regression,123,Beveren teller 1,Beveren,2,0,2,0,2,0,0,0.0,0.0,,0.0
logistic_regression,142,TEST Validatie BRUGGE Y2H22022134,Brugge,1,0,1,0,1,0,0,0.0,0.0,,0.0
random_forest,16,Kortrijk 1,Kortrijk,13,13,13,0,0,0,13,1.0,1.0,1.0,
random_forest,17,Kortrijk 2,Kortrijk,13,13,13,0,0,0,13,1.0,1.0,1.0,
random_forest,69,Leuven teller 1,Leuven,13,10,13,0,3,0,10,0.7692307692307693,0.7692307692307693,1.0,0.0
random_forest,138,Hasselt-Kempische brug,Hasselt,13,10,13,0,3,0,10,0.7692307692307693,0.7692307692307693,1.0,0.0
random_forest,118,Gent teller 1,Gent,13,9,13,0,4,0,9,0.6923076923076923,0.6923076923076923,1.0,0.0
random_forest,143,Eco Display Classic Budastraat,Kortrijk,12,9,12,0,3,0,9,0.75,0.75,1.0,0.0
random_forest,77,Leuven teller 2,Leuven,13,8,11,2,3,0,8,0.7692307692307693,0.7272727272727273,1.0,0.4
random_forest,18,Oostende 1,Oostende,13,8,12,1,4,0,8,0.6923076923076923,0.6666666666666666,1.0,0.2
random_forest,107,leuven totem,Leuven,13,8,13,0,5,0,8,0.6153846153846154,0.6153846153846154,1.0,0.0
random_forest,137,Hasselt-Kempische brug,Hasselt,13,8,13,0,5,0,8,0.6153846153846154,0.6153846153846154,1.0,0.0
random_forest,100,Mechelen teller 2,Mechelen,13,8,10,2,3,1,7,0.6923076923076923,0.7,0.875,0.4
random_forest,15,Oostende 2,Oostende,13,8,11,1,4,1,7,0.6153846153846154,0.6363636363636364,0.875,0.2
random_forest,41,Maasmechelen teller 1,Maasmechelen,13,7,12,1,5,0,7,0.6153846153846154,0.5833333333333334,1.0,0.16666666666666666
random_forest,42,Maasmechelen teller 2,Maasmechelen,13,7,13,0,6,0,7,0.5384615384615384,0.5384615384615384,1.0,0.0
random_forest,111,Zaventem totem,Zaventem,13,8,9,2,3,2,6,0.6153846153846154,0.6666666666666666,0.75,0.4
random_forest,115,Aalter,Aalter,13,9,8,2,2,3,6,0.6153846153846154,0.75,0.6666666666666666,0.5
random_forest,140,Hasselt ring,Hasselt,13,8,9,2,3,2,6,0.6153846153846154,0.6666666666666666,0.75,0.4
random_forest,122,Dendermonde teller 2,Dendermonde,13,7,9,2,4,2,5,0.5384615384615384,0.5555555555555556,0.7142857142857143,0.3333333333333333
random_forest,126,Hamme totem,Hamme,13,6,8,3,4,2,4,0.5384615384615384,0.5,0.6666666666666666,0.42857142857142855
random_forest,125,Dendermonde totem,Dendermonde,13,7,9,1,5,3,4,0.38461538461538464,0.4444444444444444,0.5714285714285714,0.16666666666666666
random_forest,65,Nieuwpoort teller 2,Nieuwpoort,13,5,3,8,0,2,3,0.8461538461538461,1.0,0.6,1.0
random_forest,64,Nieuwpoort teller 1,Nieuwpoort,13,4,7,5,4,1,3,0.6153846153846154,0.42857142857142855,0.75,0.5555555555555556
random_forest,13,Gent,Gent,13,6,7,3,4,3,3,0.46153846153846156,0.42857142857142855,0.5,0.42857142857142855
random_forest,23,Tienen 3,Tienen,13,11,3,2,0,8,3,0.38461538461538464,1.0,0.2727272727272727,1.0
random_forest,110,Herentals totem,Herentals,13,5,3,7,1,3,2,0.6923076923076923,0.6666666666666666,0.4,0.875
random_forest,47,Vilvoorde,Vilvoorde,13,3,8,4,6,1,2,0.46153846153846156,0.25,0.6666666666666666,0.4
random_forest,22,Tienen 2,Tienen,13,10,2,3,0,8,2,0.38461538461538464,1.0,0.2,1.0
random_forest,3,Brasschaat 1,Brasschaat,13,3,11,1,9,1,2,0.23076923076923078,0.18181818181818182,0.6666666666666666,0.1
random_forest,12,Tervuren,Kraainem,4,2,3,1,1,0,2,0.75,0.6666666666666666,1.0,0.5
random_forest,112,Geel teller 2,Westerlo,13,2,2,10,1,1,1,0.8461538461538461,0.5,0.5,0.9090909090909091
random_forest,4,Balen 1,Balen,13,4,1,9,0,3,1,0.7692307692307693,1.0,0.25,1.0
random_forest,108,Heverlee teller 1,Leuven,13,3,2,9,1,2,1,0.7692307692307693,0.5,0.3333333333333333,0.9
random_forest,136,Gent R4,Gent,13,4,1,9,0,3,1,0.7692307692307693,1.0,0.25,1.0
random_forest,27,Grimbergen,Meise,13,5,1,8,0,4,1,0.6923076923076923,1.0,0.2,1.0
random_forest,48,As,As,13,3,3,8,2,2,1,0.6923076923076923,0.3333333333333333,0.3333333333333333,0.8
random_forest,66,Nieuwpoort totem,Nieuwpoort,13,4,2,8,1,3,1,0.6923076923076923,0.5,0.25,0.8888888888888888
random_forest,89,Westerlo teller 2,Westerlo,13,4,2,8,1,3,1,0.6923076923076923,0.5,0.25,0.8888888888888888
random_forest,52,Brugge,Brugge,13,5,2,7,1,4,1,0.6153846153846154,0.5,0.2,0.875
random_forest,73,Herent teller 2,Herent,13,4,3,7,2,3,1,0.6153846153846154,0.3333333333333333,0.25,0.7777777777777778
random_forest,106,St. pieters leeuw teller 1,Sint-Pieters-Leeuw,13,2,5,7,4,1,1,0.6153846153846154,0.2,0.5,0.6363636363636364
random_forest,109,Zemst,Zemst,13,1,6,7,5,0,1,0.6153846153846154,0.16666666666666666,1.0,0.5833333333333334
random_forest,102,Diest teller 2,Diest,13,9,1,4,0,8,1,0.38461538461538464,1.0,0.1111111111111111,1.0
random_forest,6,Evergem 2,Evergem,13,9,2,3,1,8,1,0.3076923076923077,0.5,0.1111111111111111,0.75
random_forest,71,Kampenhout teller 2,Kampenhout,13,2,9,3,8,1,1,0.3076923076923077,0.1111111111111111,0.5,0.2727272727272727
random_forest,24,Tienen 1,Tienen,13,10,2,2,1,9,1,0.23076923076923078,0.5,0.1,0.6666666666666666
random_forest,25,Bree,Bree,13,9,3,2,2,8,1,0.23076923076923078,0.3333333333333333,0.1111111111111111,0.5
random_forest,30,Herk De Stad,Herk-de-Stad,13,0,0,13,0,0,0,1.0,,,1.0
random_forest,31,Herk De Stad,Herk-de-Stad,13,0,0,13,0,0,0,1.0,,,1.0
random_forest,32,Lummen,Lummen,13,0,0,13,0,0,0,1.0,,,1.0
random_forest,33,Lummen,Lummen,13,0,0,13,0,0,0,1.0,,,1.0
random_forest,35,Lanaken teller 1,Lanaken,13,0,0,13,0,0,0,1.0,,,1.0
random_forest,36,Lanaken teller 2,Lanaken,13,0,0,13,0,0,0,1.0,,,1.0
random_forest,39,Peer teller 1,Peer,13,0,0,13,0,0,0,1.0,,,1.0
random_forest,40,Peer teller 2,Peer,13,0,0,13,0,0,0,1.0,,,1.0
random_forest,103,Malle teller 1,Malle,13,0,0,13,0,0,0,1.0,,,1.0
random_forest,104,Malle teller 2,Malle,13,0,0,13,0,0,0,1.0,,,1.0
random_forest,132,Gierde lille,Lille,13,0,0,13,0,0,0,1.0,,,1.0
random_forest,133,Gierde Lille Totem,Lille,13,0,0,13,0,0,0,1.0,,,1.0
random_forest,135,Retie 2,Dessel,13,0,0,13,0,0,0,1.0,,,1.0
random_forest,21,Bilzen,Bilzen,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,29,Tongeren,Tongeren,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,50,"Brugge, Sint-Andries",Brugge,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,61,Wervik teller 2,Wervik,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,62,Wervik teller 1,Wervik,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,67,Ieper totem,Ieper,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,68,Ieper,Ieper,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,78,Pepingen teller 1,Pepingen,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,79,Pepingen teller 2,Pepingen,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,81,Wemmel teller 2,Wemmel,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,82,Beersel teller 1,Beersel,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,83,Beersel teller 2,Beersel,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,84,Roeselare totem,Izegem,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,85,Asse teller 1,Asse,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,86,Asse teller 2,Asse,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,90,Brecht teller 1,Brecht,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,91,Brecht teller 2,Brecht,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,92,Nijlen teller 1,Nijlen,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,93,Nijlen teller 2,Nijlen,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,95,Lier teller 1,Lier,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,113,Deinze teller 2,Deinze,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,114,Deinze teller 1,Nazareth,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,131,Nevele,Deinze,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,134,Retie,Dessel,13,1,0,12,0,1,0,0.9230769230769231,,0.0,1.0
random_forest,20,Brugge,Brugge,13,1,1,11,1,1,0,0.8461538461538461,0.0,0.0,0.9166666666666666
random_forest,28,Heers,Heers,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
random_forest,34,Heers teller 1,Heers,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
random_forest,37,Lommel teller 1,Lommel,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
random_forest,38,Lommel teller 2,Lommel,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
random_forest,51,"Brugge, Sint-Andries",Brugge,13,1,1,11,1,1,0,0.8461538461538461,0.0,0.0,0.9166666666666666
random_forest,55,Torhout teller 1,Torhout,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
random_forest,56,Torhout teller 2,Torhout,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
random_forest,57,Meulebeke teller 1,Meulebeke,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
random_forest,58,Meulebeke teller 2,Meulebeke,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
