trial,iterations,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,border_count,loss_function,eval_metric,verbose,random_seed,use_best_model,best_iteration,validation_roc_auc,validation_best_f1_threshold,validation_best_f1
8,1141,5,0.017439890902063302,1.4669355172777754,5.818533357509041,2.397621301294733,230,Logloss,AUC,False,42,True,72,0.758716389390194,0.37,0.5739910313901345
24,204,6,0.012660001806988418,16.096995220494925,5.756051217343149,0.5975447380225125,163,Logloss,AUC,False,42,True,149,0.7586708927948558,0.32,0.574002574002574
20,1082,5,0.03853523590836389,8.332944129255814,0.04442466616932572,3.7740477434556237,130,Logloss,AUC,False,42,True,12,0.7586506720858166,0.46,0.5699300699300699
3,927,7,0.03127707148050941,14.495787668103521,4.804249794582333,1.1454239227886083,237,Logloss,AUC,False,42,True,39,0.7585798996041797,0.38,0.5636623748211731
30,786,4,0.019917215961095372,6.753272448931795,5.3532824361805185,3.3874356049840992,120,Logloss,AUC,False,42,True,208,0.7569319118174878,0.39,0.5614035087719298
22,414,4,0.02302583282284589,18.203238682312083,1.5338227590856612,1.4837266767652337,94,Logloss,AUC,False,42,True,7,0.7564971665731459,0.46,0.5654450261780105
12,630,4,0.04756555279888368,10.951943255627226,2.3870525146624813,1.970962187372209,148,Logloss,AUC,False,42,True,132,0.7561584696967399,0.26,0.5580774365821095
39,1199,5,0.03557151666309139,19.911776145649362,8.238617118675485,3.561428737621938,157,Logloss,AUC,False,42,True,238,0.7560068143789462,0.38,0.5626072041166381
9,225,5,0.010473165294550326,14.675296056131334,4.620318594957624,3.0642029205211045,88,Logloss,AUC,False,42,True,92,0.7557287796296578,0.36,0.5604113110539846
34,961,4,0.023635838495220586,15.578058191635366,1.960950681946772,2.105976109971936,195,Logloss,AUC,False,42,True,5,0.755240955024088,0.48,0.5566343042071198
29,689,6,0.05800213148809648,9.258870832173898,0.979847418695619,0.6219798085754106,32,Logloss,AUC,False,42,True,11,0.7533225152539974,0.44,0.5631067961165048
28,824,6,0.09244254136397541,11.792248733744456,7.389365117974179,1.2557719552727105,62,Logloss,AUC,False,42,True,38,0.7522002659023239,0.32,0.5674547983310153
6,505,9,0.03247231400675885,14.368718503193035,0.9598542405874488,4.0091905372194585,42,Logloss,AUC,False,42,True,137,0.7514925410859532,0.45,0.5582255083179297
15,381,8,0.06589713930151467,16.4341479981186,9.505189897685938,3.1365893239512657,71,Logloss,AUC,False,42,True,149,0.7500669810986921,0.32,0.5586924219910847
38,882,8,0.054221522683190936,14.83525403243254,6.6292115282497495,0.45669422717296293,222,Logloss,AUC,False,42,True,51,0.74867175217499,0.35,0.55
7,835,6,0.18807739134663257,1.6944093423632274,6.884598268158736,1.0882734772420077,189,Logloss,AUC,False,42,True,45,0.7481308482081925,0.36,0.568935427574171
35,565,8,0.031154663199434753,13.780129177228634,4.098421955285939,2.7179457792778297,254,Logloss,AUC,False,42,True,111,0.7479185307632812,0.38,0.560530679933665
14,744,6,0.11841483725298484,10.866867816731357,6.321410242992119,0.12687849080758284,134,Logloss,AUC,False,42,True,72,0.7478123720408256,0.36,0.567398119122257
17,626,10,0.04691805890523417,12.71836829493759,4.508231363036507,1.6394701152869207,108,Logloss,AUC,False,42,True,81,0.7460228392908598,0.35,0.5545977011494253
19,696,7,0.166682031600125,12.795490593013954,3.745851580237054,2.524058925783057,63,Logloss,AUC,False,42,True,23,0.7447287139123533,0.32,0.5561643835616439
1,896,9,0.07905584752140045,5.190894845211456,8.867027861612026,3.0520072030886434,178,Logloss,AUC,False,42,True,90,0.7231077207722288,0.36,0.5439469320066335
5,985,7,0.13676574494249963,1.9446250541981347,8.105121397913614,0.3667196310026777,50,Logloss,AUC,False,42,True,66,0.7212524707178857,0.37,0.5494137353433836
