site_id,site_name,site_gemeente,crash_count_2_5km,nearest_crash_distance_km,average_crash_distance_km
37,Lommel teller 1,Lommel,442,0.014845734747040672,1.543980439912871
38,Lommel teller 2,Lommel,438,0.01368120758983138,1.5348102774236818
117,Melle teller 1,Melle,432,0.13716404023485967,1.4699738068664745
116,Melle teller 2,Melle,432,0.13716404023485967,1.4699738068664745
121,Zele teller 2,Zele,432,0.02170435963800901,1.5863391180171345
22,Tienen 2,Tienen,423,0.057237242823281576,1.1411653768378818
24,Tienen 1,Tienen,419,0.009770190624328684,1.1331091221724745
23,Tienen 3,Tienen,419,0.04002573459787922,1.1307137639317744
124,Beveren teller 2,Beveren,413,0.04527310145294273,1.7159155910975334
98,Geel teller 2,Geel,412,0.07680893683120989,1.6626379922629213
97,Geel teller 1,Geel,412,0.04860461669169923,1.6723132475534324
123,Beveren teller 1,Beveren,412,0.04354555858553631,1.712868289080943
51,"Brugge, Sint-Andries",Brugge,402,0.12050532556347318,1.7702231571545275
50,"Brugge, Sint-Andries",Brugge,400,0.11675710509298427,1.766038566179533
96,Lier teller 2,Lier,399,0.023700092847903195,1.6888665812528332
95,Lier teller 1,Lier,397,0.01674235884421691,1.6951898503243437
102,Diest teller 2,Diest,384,0.008980554241091837,1.170345953157461
101,Diest teller 1,Diest,384,0.01991076873183699,1.1650668634941188
61,Wervik teller 2,Wervik,377,0.01941670133924577,1.6668986367521081
56,Torhout teller 2,Torhout,372,0.015049711109789017,1.482824343325929
55,Torhout teller 1,Torhout,372,0.014691720565286814,1.4794418714771382
62,Wervik teller 1,Wervik,365,0.02985968524690711,1.6562906008395641
25,Bree,Bree,365,0.06244538394889952,1.0839471324135734
9,Heist op den Berg 2,Heist-op-den-Berg,359,0.06452259779731256,1.5193419469450482
8,Heist op den Berg 1,Heist-op-den-Berg,339,0.15136788198986145,1.6039722669695946
146,Overijse 2,District Vilvoorde-gewestwegen,333,0.08129679973397182,1.484803972099806
109,Zemst,Zemst,333,0.1378753404359344,1.546891166741721
145,Overijse,District Vilvoorde-gewestwegen,329,0.09226426265702169,1.4729154500178785
46,Pelt teller 2,Pelt,325,0.02971415273591269,1.356109766634617
45,Pelt teller 1,Pelt,325,0.05287627819531873,1.3661482435522583
80,Wemmel teller 1,Wemmel,318,0.028746191061824373,1.8277250346463727
