site_id,site_name,site_gemeente,crash_count_500m,nearest_crash_distance_km,average_crash_distance_km
146,Overijse 2,District Vilvoorde-gewestwegen,50,0.08129679973397182,0.288897125673793
27,Grimbergen,Meise,50,0.03308124585420662,0.25177767505561377
126,Hamme totem,Hamme,49,0.04903654912001528,0.2816581244458367
64,Nieuwpoort teller 1,Nieuwpoort,47,0.028785975763055346,0.3117508287325888
47,Vilvoorde,Vilvoorde,47,0.02772566646271389,0.3343365696841139
127,Geel totem,Westerlo,46,0.06773411955018496,0.27269448165084803
12,Tervuren,Kraainem,44,0.0952760851534097,0.31726862249296883
14,Genk,Genk,43,0.17412350490579703,0.39575626102069417
136,Gent R4,Gent,43,0.0573705503270374,0.22811214196066099
115,Aalter,Aalter,42,0.026961428983974255,0.24007452177746888
13,Gent,Gent,39,0.02192997927259352,0.3445619153078517
112,Geel teller 2,Westerlo,37,0.014675647042203801,0.22836644749282303
94,Herentals teller 2,Herentals,37,0.0287625808732144,0.2854064108277649
142,TEST Validatie BRUGGE Y2H22022134,Brugge,35,0.036539506229796,0.2772451904712979
52,Brugge,Brugge,35,0.036539506229796,0.2772451904712979
53,Brugge teller 1,Brugge,35,0.05258806797244564,0.33466270458385916
54,Brugge teller 2,Brugge,35,0.04627764296356805,0.325579401134627
21,Bilzen,Bilzen,34,0.01717270497895734,0.27484421469601406
110,Herentals totem,Herentals,33,0.09730169492643198,0.2934435587739768
48,As,As,32,0.09061323399978127,0.2179342530733775
9,Heist op den Berg 2,Heist-op-den-Berg,32,0.06452259779731256,0.25940408874908366
70,Kampenhout teller 1,Kampenhout,32,0.09539583644069878,0.3226540438858783
11,Aalst 3,Aalst,31,0.061230249537184575,0.3029403971842363
66,Nieuwpoort totem,Nieuwpoort,30,0.1621432089471809,0.3401455077303407
45,Pelt teller 1,Pelt,30,0.05287627819470786,0.302392684253748
71,Kampenhout teller 2,Kampenhout,29,0.046804426730231025,0.2863311400980848
129,Lokeren teller 2,Lokeren,29,0.022055686208685074,0.33040603619273445
128,Lokeren teller 1,Lokeren,29,0.014073802812435829,0.3096825265745947
139,Houthalen-Helchteren,Houthalen-Helchteren,29,0.06827626868935902,0.283932523779462
10,Aalst 2,Aalst,28,0.03329113394148211,0.2944269824410486
97,Geel teller 1,Geel,28,0.0486046166922547,0.31425985007975965
120,Zele teller 1,Zele,28,0.018654657560273954,0.16604803412976038
46,Pelt teller 2,Pelt,28,0.029714152735540306,0.27636812072163314
109,Zemst,Zemst,28,0.13787534043598754,0.37369238087985723
44,Maaseik teller 2,Maaseik,27,0.02430369582660021,0.27639694146816896
43,Maaseik teller 1,Maaseik,27,0.017000579609025755,0.2760323194003791
114,Deinze teller 1,Nazareth,27,0.026424917557424564,0.2353220127701947
98,Geel teller 2,Geel,27,0.07680893683153067,0.3141383426085873
89,Westerlo teller 2,Westerlo,26,0.06746463618591157,0.2786040296531749
88,Westerlo teller 1,Westerlo,26,0.05596843405448943,0.272767678538347
121,Zele teller 2,Zele,26,0.02170435963800901,0.14518974213457508
113,Deinze teller 2,Deinze,26,0.04046298476540709,0.23184088132737907
1,Machelen,Machelen,24,0.14560835650232462,0.23828889163584044
55,Torhout teller 1,Torhout,24,0.014691720565286814,0.2634182339646017
56,Torhout teller 2,Torhout,24,0.015049711109789017,0.2638995126820235
63,Nieuwpoort teller 3,Nieuwpoort,23,0.24399695515215553,0.3904511051708032
105,St. pieters leeuw teller 2,Halle,23,0.03994840936386379,0.28038796899994756
124,Beveren teller 2,Beveren,23,0.04527310145294273,0.27383734768807083
62,Wervik teller 1,Wervik,23,0.02985968524690711,0.30797912745925005
106,St. pieters leeuw teller 1,Sint-Pieters-Leeuw,23,0.031392089600426915,0.27985580248880865
123,Beveren teller 1,Beveren,23,0.04354555858553631,0.2754597598960212
61,Wervik teller 2,Wervik,21,0.01941670133924577,0.2772654628813817
19,Aalst 1,Aalst,21,0.11372372810743232,0.27073157174514395
60,Ardooie teller 2,Ardooie,21,0.12516915859193214,0.3710570361623032
38,Lommel teller 2,Lommel,21,0.01368120758983138,0.2826985498882473
87,Aarschot,Aarschot,20,0.01563243327960072,0.23450598525120575
37,Lommel teller 1,Lommel,20,0.014845734746509215,0.27301416353509433
67,Ieper totem,Ieper,19,0.06610629676177744,0.2509752243229714
72,Herent teller 1,Herent,19,0.018331413873627384,0.2534210363759035
96,Lier teller 2,Lier,19,0.023700092847903195,0.13872103835257052
73,Herent teller 2,Herent,19,0.01616298835069047,0.25311730183331427
4,Balen 1,Balen,19,0.0974555955845561,0.3291484361094124
5,Balen 2,Balen,19,0.09658716666606162,0.3284043399815663
68,Ieper,Ieper,18,0.08280858573421572,0.23261295809253862
8,Heist op den Berg 1,Heist-op-den-Berg,18,0.15136788198986145,0.30590141439529683
95,Lier teller 1,Lier,18,0.01674235884421691,0.11673118096687841
134,Retie,Dessel,17,0.044449964868359955,0.3668540781788637
30,Herk De Stad,Herk-de-Stad,17,0.06752999637112161,0.2515460624926361
31,Herk De Stad,Herk-de-Stad,17,0.030000517312835605,0.2581242378766221
147,Overijse,District Vilvoorde-gewestwegen,16,0.1815717239790354,0.29373508868983284
49,Bokrijk,Genk,16,0.06256988158124158,0.19422211970318418
80,Wemmel teller 1,Wemmel,14,0.028746191061824373,0.27271078409012933
81,Wemmel teller 2,Wemmel,14,0.04935613594304846,0.2839423885000237
76,Heverlee teller 2,Leuven,13,0.07912191475532013,0.25640794105915743
108,Heverlee teller 1,Leuven,13,0.006279060784837081,0.2283971732039112
20,Brugge,Brugge,13,0.11413401411435604,0.3242656024171075
59,Ardooie teller 1,Ardooie,12,0.1649554491388897,0.29619806770809787
86,Asse teller 2,Asse,12,0.062257289063667155,0.3245353552178936
135,Retie 2,Dessel,12,0.015266503881573957,0.3152333865536183
29,Tongeren,Tongeren,11,0.10514228806210864,0.3453356209022514
79,Pepingen teller 2,Pepingen,11,0.029615318746782908,0.2910181333501826
78,Pepingen teller 1,Pepingen,11,0.014930343558190519,0.28777567216517286
150,Bertem,District Leuven,10,0.04115141592224515,0.28899785407963835
